S.NO,EMP ID,Employee Name,EmailId,Father's Name,Department,Designation,Pay Days,Present Days,BASIC,HRA,CONVEYANCE,CCA,OTHER EARN,PH.LIS.AMT,R F PHEC,NS ALLOW,SPL ALLOW,EXTRA DUTY,ARREARS,Total Earning,PF,ESI,PT,TDS,MOBILE DED,PEHC DED,OTHER DED,Total Dedn,Net Amount
15,282,Shalini Basu,ShaliniBasu@gmail.com,,Billing,Executive,30,30,"5,000.00","2,000.00",800,"2,200.00",0,0,0,0,0,0,0,"10,000.00",600,175,80,0,0,0,0,855,"9,145.00"
16,398,Ajay Choudhary,AjayChoudhary@gmail.com,YADAGIRI,Billing,Executive,30,30,"4,675.00","1,870.00",800,"2,005.00",0,0,0,0,0,0,0,"9,350.00",561,163.65,80,0,0,0,0,804.65,"8,545.00"
17,516,Reshma Mishra,ReshmaMishra@gmail.com,D RAMA CHANDRAIAH,Billing,Executive,25,25,"4,167.00","1,667.00",667,"1,833.00",0,0,0,0,0,0,0,"8,334.00",500,145.85,80,0,0,0,0,725.85,"7,608.00"
18,529,Sanjay Thakur,SanjayThakur@gmail.com,BHEEM RAO,Billing,Assistant Manager,30,30,"12,500.00","5,000.00",800,"6,700.00",0,0,0,0,0,0,0,"25,000.00",780,0,200,0,0,0,0,980,"24,020.00"
19,587,Preeti Agarwal,PreetiAgarwal@gmail.com,NAGI REDDY,Billing,Executive,30,30,"3,250.00","1,300.00",800,"1,150.00",0,0,0,0,0,0,0,"6,500.00",390,113.75,80,0,0,0,0,583.75,"5,916.00"
20,60,Pradeep Agarwal,PradeepAgarwal@gmail.com,,Billing,Executive,30,30,"5,250.00","2,100.00",800,"2,350.00",0,0,0,0,"2,000.00",0,0,"12,500.00",630,183.75,100,0,0,0,0,913.75,"11,586.00"
21,603,Ajay Naidu,AjayNaidu@gmail.com,NAGESWARA RAO,Billing,Executive,30,30,"5,000.00","2,000.00",800,"2,200.00",0,0,0,0,0,0,0,"10,000.00",600,175,80,0,0,0,0,855,"9,145.00"
22,4,Suraj Choudhary,SurajChoudhary@gmail.com,,Bio-Medical,Sr. Bio-Medical Engineer,30,30,"11,000.00","4,400.00",800,"5,800.00",0,0,0,0,0,0,0,"22,000.00",780,0,200,0,0,0,0,980,"21,020.00"
23,652,Madhavi Kumar,MadhaviKumar@gmail.com,Nagaraju,Bio-Medical,Junior Engineer,30,30,"6,000.00","2,400.00",800,"2,800.00",0,0,0,0,0,0,0,"12,000.00",720,210,100,0,0,0,0,"1,030.00","10,970.00"
24,33,Naveen Iyer,NaveenIyer@gmail.com,,Blood Bank,Technician,30,30,"8,600.00","3,440.00",800,"4,360.00",0,0,0,0,0,0,0,"17,200.00",780,0,150,0,0,0,0,930,"16,270.00"
25,34,Divya Basu,DivyaBasu@gmail.com,,Blood Bank,Technician,30,30,"5,279.00","2,111.00",800,"2,367.00",0,0,0,0,0,0,0,"10,557.00",633,184.75,100,0,0,0,0,917.75,"9,639.00"
26,35,Geetha Rao,GeethaRao@gmail.com,,Blood Bank,Technical Supervisor,30,30,"6,653.00","2,661.00",800,"3,192.00",0,0,0,0,0,0,0,"13,306.00",780,232.9,100,0,0,0,0,"1,112.90","12,193.00"
27,59,Divya Mehta,DivyaMehta@gmail.com,,Blood Bank,Technician,30,30,"7,560.00","3,024.00",800,"3,736.00",0,0,0,0,0,0,0,"15,120.00",780,0,150,0,0,0,0,930,"14,190.00"
28,333,Harsha Menon,HarshaMenon@gmail.com,,Business Development,Executive,30,30,"5,000.00","2,000.00",800,"2,200.00",0,0,0,0,0,0,0,"10,000.00",600,175,80,0,0,0,0,855,"9,145.00"
29,510,Rekha Kumar,RekhaKumar@gmail.com,NARAYANA REDDY S,Business Development,Executive,30,30,"5,500.00","2,200.00",800,"2,500.00",0,0,0,0,0,0,0,"11,000.00",660,192.5,100,0,222,0,0,"1,174.50","9,826.00"
30,570,Suraj Banerjee,SurajBanerjee@gmail.com,PRAKASH REDDY,Business Development,Executive,30,30,"5,000.00","2,000.00",800,"2,200.00",0,0,0,0,0,0,0,"10,000.00",600,175,80,0,0,0,0,855,"9,145.00"
31,645,Gauri Ghosh,GauriGhosh@gmail.com,Rama Brahmam,Business Development,Deputy General Manager,30,30,"25,000.00","10,000.00",800,"14,200.00",0,0,0,0,0,0,0,"50,000.00",780,0,200,0,0,0,0,980,"49,020.00"
32,646,Ajay Bhat,AjayBhat@gmail.com,H Vasudevachar Turi,Business Development,Manager,30,30,"20,000.00","8,000.00",800,"11,200.00",0,0,0,0,0,0,0,"40,000.00",780,0,200,0,0,0,0,980,"39,020.00"
33,660,Shweta Jain,ShwetaJain@gmail.com,Sivarama Prasad,Business Development,Executive,30,30,"4,000.00","1,600.00",800,"1,600.00",0,0,0,0,0,0,0,"8,000.00",480,140,80,0,0,0,0,700,"7,300.00"
34,661,Manoj Mishra,ManojMishra@gmail.com,Venkayya,Business Development,Executive,30,30,"4,000.00","1,600.00",800,"1,600.00",0,0,0,0,0,0,0,"8,000.00",480,140,80,0,0,0,0,700,"7,300.00"
35,663,Sneha Singh,SnehaSingh@gmail.com,Ganesh,Business Development,Assistant Manager,30,30,"12,500.00","5,000.00",800,"6,700.00",0,0,0,0,0,0,0,"25,000.00",780,0,200,0,0,0,0,980,"24,020.00"
36,673,Tanuja Naidu,TanujaNaidu@gmail.com,Nageswara Rao,Business Development,Executive,26,26,"3,467.00","1,387.00",693,"1,387.00",0,0,0,0,0,0,0,"6,934.00",416,121.35,80,0,0,275,0,892.35,"6,042.00"
37,29,Preeti Patil,PreetiPatil@gmail.com,,Casualty,Technician,30,30,"5,796.00","2,318.00",800,"2,678.00",0,0,0,0,0,773,0,"12,365.00",696,216.4,100,0,0,0,0,"1,012.40","11,353.00"
38,288,Lavanya Dey,LavanyaDey@gmail.com,,Cath Lab,Technologist,30,30,"12,000.00","4,800.00",800,"6,400.00",0,0,0,0,0,0,0,"24,000.00",780,0,200,0,0,0,0,980,"23,020.00"
39,441,Neha Patil,NehaPatil@gmail.com,MD BABUL,Cath Lab,Technician,30,30,"3,594.00","1,438.00",800,"1,356.00",0,0,0,0,0,0,726,"7,914.00",475,138.5,80,0,0,0,0,693.5,"7,221.00"
40,659,Reshma Bansal,ReshmaBansal@gmail.com,Bhausaheb Hiware,Cath Lab,Technician,30,30,"5,000.00","2,000.00",800,"2,200.00",0,0,0,0,0,0,0,"10,000.00",600,175,80,0,0,0,0,855,"9,145.00"
41,115,Vinod Joshi,VinodJoshi@gmail.com,,CSSD,Technician,29,29,"6,380.00","2,552.00",773,"3,055.00",0,0,0,0,0,0,0,"12,760.00",754,223.3,100,0,0,0,0,"1,077.30","11,683.00"
42,249,Anil Bhattacharya,AnilBhattacharya@gmail.com,,CSSD,Technician,30,30,"4,600.00","1,840.00",800,"1,960.00",0,0,0,0,0,"1,533.00",0,"10,733.00",552,187.85,80,0,0,0,0,819.85,"9,913.00"
43,287,Meena Das,MeenaDas@gmail.com,,CSSD,CSSD Technician,30,30,"5,175.00","2,070.00",800,"2,305.00",0,0,0,0,0,0,0,"10,350.00",621,181.15,100,0,0,0,0,902.15,"9,448.00"
44,372,Geetha Chopra,GeethaChopra@gmail.com,,CTVS,Perfusionist,30,30,"25,875.00","10,350.00",800,"14,725.00",0,0,0,0,0,0,0,"51,750.00",780,0,200,0,0,0,0,980,"50,770.00"
45,63,Gauri Chopra,GauriChopra@gmail.com,,CTVS,Perfusionist,28,28,"16,100.00","6,440.00",747,"8,913.00",0,0,0,0,0,0,0,"32,200.00",728,0,200,0,"1,167.00",0,0,"2,095.00","30,105.00"
46,109,Ajay Chopra,AjayChopra@gmail.com,,Finance & Accounts,Executive - Accounts,30,30,"7,500.00","3,000.00",800,"3,700.00",0,0,0,0,0,0,0,"15,000.00",780,262.5,100,0,0,0,0,"1,142.50","13,858.00"
47,264,Sunil Sharma,SunilSharma@gmail.com,,Finance & Accounts,Accountant,30,30,"5,000.00","2,000.00",800,"2,200.00",0,0,0,0,"2,000.00",0,0,"12,000.00",600,175,80,0,964,0,0,"1,819.00","10,181.00"
48,323,Shalini Gupta,ShaliniGupta@gmail.com,,Finance & Accounts,Cashier,30,30,"7,500.00","3,000.00",800,"3,700.00",0,0,0,0,0,0,0,"15,000.00",780,262.5,100,0,0,0,0,"1,142.50","13,858.00"
49,355,Sneha Choudhary,SnehaChoudhary@gmail.com,,Finance & Accounts,Executive,30,30,"7,500.00","3,000.00",800,"3,700.00",0,0,0,0,0,0,0,"15,000.00",780,262.5,100,0,773,0,0,"1,915.50","13,085.00"
50,366,Rohan Chatterjee,RohanChatterjee@gmail.com,Sambasiva Rao,Finance & Accounts,Assistant Manager,30,30,"26,859.00","10,743.00",800,"15,315.00",0,0,0,0,0,0,0,"53,717.00",780,0,200,0,0,0,0,980,"52,737.00"
51,495,Karthik Kurup,KarthikKurup@gmail.com,K B RAJU,Finance & Accounts,Executive,30,30,"6,000.00","2,400.00",800,"2,800.00",0,0,550,0,0,0,0,"12,550.00",720,210,100,0,0,0,0,"1,030.00","11,520.00"
52,672,Naveen Agarwal,NaveenAgarwal@gmail.com,B N Govinda Prasad,Finance & Accounts,Finance Manager,30,30,"29,102.00","11,641.00",800,"16,661.00",0,0,0,0,0,0,0,"58,204.00",0,0,200,0,0,275,0,475,"57,729.00"
53,7,Priya Gowda,PriyaGowda@gmail.com,,Finance & Accounts,Sr. Accountant,30,30,"14,352.00","5,741.00",800,"7,811.00",0,0,0,0,0,0,0,"28,704.00",780,0,200,0,0,0,0,980,"27,724.00"
54,111,Vikram Singh,VikramSingh@gmail.com,,Front Office,Data Entry Operator,30,30,"3,625.00","1,450.00",800,"1,375.00",0,0,0,0,0,0,0,"7,250.00",435,126.9,80,0,0,0,0,641.9,"6,608.00"
55,193,Swati Patel,SwatiPatel@gmail.com,,Front Office,Executive,27,27,"4,050.00","1,620.00",720,"1,710.00",0,0,0,0,0,0,0,"8,100.00",486,141.75,80,0,0,0,0,707.75,"7,392.00"
56,231,Preeti Shukla,PreetiShukla@gmail.com,,Front Office,Tele Caller,30,30,"5,125.00","2,050.00",800,"2,275.00",0,0,0,0,0,0,0,"10,250.00",615,179.4,100,0,0,0,0,894.4,"9,356.00"
57,408,Pooja Das,PoojaDas@gmail.com,GANGA RAJU,Front Office,Executive,30,30,"4,600.00","1,840.00",800,"1,960.00",0,0,0,0,0,"1,072.00",0,"10,272.00",552,179.8,80,0,0,0,0,811.8,"9,460.00"
58,454,Sneha Gupta,SnehaGupta@gmail.com,K MALLAIAH,Front Office,TELEPHONE ASSISTANT,30,30,"4,000.00","1,600.00",800,"1,600.00",0,0,0,0,0,0,0,"8,000.00",480,140,80,0,364,0,0,"1,064.00","6,936.00"
59,515,Lavanya Kaul,LavanyaKaul@gmail.com,B OMKAR RAO,Front Office,Executive,20,20,"2,500.00","1,000.00",533,967,0,0,0,0,0,0,0,"5,000.00",300,87.5,0,0,0,0,0,387.5,"4,613.00"
60,576,Shweta Mukherjee,ShwetaMukherjee@gmail.com,VENKAT RAO,Front Office,Data Entry Operator,30,30,"5,000.00","2,000.00",800,"2,200.00",0,0,0,0,0,0,0,"10,000.00",600,175,80,0,0,0,0,855,"9,145.00"
61,61,Tanuja Mishra,TanujaMishra@gmail.com,,Front Office,Assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,611,Pooja Jain,PoojaJain@gmail.com,SURESH,Front Office,FLOOR COORDINATOR,30,30,"5,000.00","2,000.00",800,"2,200.00",0,0,0,0,0,0,0,"10,000.00",600,175,80,0,0,0,0,855,"9,145.00"
63,629,Madhavi Deshmukh,MadhaviDeshmukh@gmail.com,Samuel,Front Office,Executive,30,30,"4,000.00","1,600.00",800,"1,600.00",0,0,0,0,0,0,0,"8,000.00",480,140,80,0,0,0,0,700,"7,300.00"
64,630,Priya Joshi,PriyaJoshi@gmail.com,Joseph D'Souza,Front Office,TELEPHONE ASSISTANT,30,30,"4,250.00","1,700.00",800,"1,750.00",0,0,0,0,0,0,0,"8,500.00",510,148.75,80,0,0,0,0,738.75,"7,761.00"
65,632,Pankaj Bhattacharya,PankajBhattacharya@gmail.com,Prasanna Kumar(Late),Front Office,DEO,28,28,"3,267.00","1,307.00",747,"1,213.00",0,0,0,0,0,0,0,"6,534.00",392,114.35,80,0,0,0,0,586.35,"5,948.00"
66,635,Kavita Roy,KavitaRoy@gmail.com,Ramalingam,Front Office,FLOOR COORDINATOR,28,28,"5,133.00","2,053.00",747,"2,333.00",0,0,0,0,0,0,0,"10,266.00",616,179.7,100,0,0,0,0,895.7,"9,370.00"
67,647,Vikram Kohli,VikramKohli@gmail.com,L D Nepolian,Front Office,TELEPHONE ASSISTANT,30,30,"4,000.00","1,600.00",800,"1,600.00",0,0,0,0,0,0,0,"8,000.00",480,140,80,0,0,0,0,700,"7,300.00"
68,675,Naveen Pandey,NaveenPandey@gmail.com,Deva Raju,Front Office,Executive,30,30,"3,500.00","1,400.00",800,"1,300.00",0,0,0,0,0,0,0,"7,000.00",420,122.5,80,0,0,275,0,897.5,"6,103.00"
69,676,Deepak Verma,DeepakVerma@gmail.com,Issac,Front Office,Executive,29,29,"3,867.00","1,547.00",773,"1,547.00",0,0,0,0,0,0,0,"7,734.00",464,135.35,80,0,0,275,0,954.35,"6,780.00"
70,685,Preeti Paul,PreetiPaul@gmail.com,Chandra Shekar,Front Office,Executive,27,27,"3,600.00","1,440.00",720,"1,440.00",0,0,0,0,0,0,0,"7,200.00",432,126,80,0,0,275,0,913,"6,287.00"
71,696,Manoj Das,ManojDas@gmail.com,Balaraju,Front Office,Executive,15,15,"1,875.00",750,400,725,0,0,0,0,0,0,0,"3,750.00",225,65.65,0,0,0,275,0,565.65,"3,184.00"
72,411,Rohan Patil,RohanPatil@gmail.com,RAMA KRISHNA RAO,Human Resources,JUNIOR EXECUTIVE,30,30,"6,000.00","2,400.00",800,"2,800.00",0,0,0,0,0,0,0,"12,000.00",720,210,100,0,0,0,0,"1,030.00","10,970.00"
73,533,Kavita Reddy,KavitaReddy@gmail.com,LAVA KUMAR,Human Resources,JR EXECUTIVE,30,30,"4,000.00","1,600.00",800,"1,600.00",0,0,0,0,0,0,0,"8,000.00",480,140,80,0,0,0,0,700,"7,300.00"
74,668,Rohan Mukherjee,RohanMukherjee@gmail.com,Subba Raju,Human Resources,Executive,30,30,"3,500.00","1,400.00",800,"1,300.00",0,0,0,0,0,0,0,"7,000.00",420,122.5,80,0,0,0,0,622.5,"6,378.00"
75,519,Meena Shetty,MeenaShetty@gmail.com,P PULLAIAH,Information Technology,SYSTEMS ADMINISTRATOR,30,30,"7,750.00","3,100.00",800,"3,850.00",0,0,0,0,0,0,0,"15,500.00",780,0,150,0,0,0,0,930,"14,570.00"
76,593,Anil Deshmukh,AnilDeshmukh@gmail.com,CHAKRADHARA RAO,Information Technology,JUNIOR SYSTEM ADMINISTRATOR,30,30,"4,000.00","1,600.00",800,"1,600.00",0,0,0,0,0,0,0,"8,000.00",480,140,80,0,432,0,0,"1,132.00","6,868.00"
77,477,Sanjay Chakraborty,SanjayChakraborty@gmail.com,PAPANNA M,Inventory,STORE ASSISTANT,28,28,"4,433.00","1,773.00",747,"1,913.00",0,0,550,0,0,0,0,"9,416.00",532,155.2,80,0,0,0,0,767.2,"8,649.00"
78,489,Pradeep Mukherjee,PradeepMukherjee@gmail.com,SATHYANARAYANA M,Inventory,STORE ASSISTANT,29,29,"5,800.00","2,320.00",773,"2,707.00",0,0,550,0,0,0,0,"12,150.00",696,203,100,0,0,0,0,999,"11,151.00"
79,218,Ritu Ghosh,RituGhosh@gmail.com,,Lab Services,Lab Technician,30,30,"4,760.00","1,904.00",800,"2,056.00",0,0,0,0,0,0,0,"9,520.00",571,166.6,80,0,0,0,0,817.6,"8,702.00"
80,22,Rohan Agarwal,RohanAgarwal@gmail.com,,Lab Services,Incharge Technician,30,30,"6,962.00","2,785.00",800,"3,377.00",0,0,0,0,0,0,0,"13,924.00",780,243.7,100,0,868,0,0,"1,991.70","11,932.00"
81,229,Anil Singh,AnilSingh@gmail.com,,Lab Services,Technician,30,30,"5,175.00","2,070.00",800,"2,305.00",0,0,0,0,0,0,0,"10,350.00",621,181.15,100,0,0,0,0,902.15,"9,448.00"
82,271,Gauri Kapoor,GauriKapoor@gmail.com,,Lab Services,Technician,30,30,"5,320.00","2,128.00",800,"2,392.00",0,0,0,0,0,0,0,"10,640.00",638,186.2,100,0,672,0,0,"1,596.20","9,044.00"
83,272,Chitra Kapoor,ChitraKapoor@gmail.com,,Lab Services,Technician,30,30,"4,760.00","1,904.00",800,"2,056.00",0,0,0,0,0,0,0,"9,520.00",571,166.6,80,0,0,0,0,817.6,"8,702.00"
84,39,Chitra Bhat,ChitraBhat@gmail.com,,Lab Services,Technician,30,30,"6,272.00","2,509.00",800,"2,963.00",0,0,0,0,0,0,0,"12,544.00",753,219.55,100,0,0,0,0,"1,072.55","11,471.00"
85,40,Pooja Bhattacharya,PoojaBhattacharya@gmail.com,,Lab Services,Technician,30,30,"4,931.00","1,972.00",800,"2,158.00",0,0,0,0,0,0,0,"9,861.00",592,172.6,80,0,350,0,0,"1,194.60","8,666.00"
86,574,Deepa Paul,DeepaPaul@gmail.com,SURYA NARAYANA,Lab Services,LAB TECHNOLOGIST,30,30,"5,500.00","2,200.00",800,"2,500.00",0,0,0,0,0,0,0,"11,000.00",660,192.5,100,0,0,0,0,952.5,"10,048.00"
87,590,Swati Tripathi,SwatiTripathi@gmail.com,PRABHU DAS,Lab Services,Technician,30,30,"3,875.00","1,550.00",800,"1,525.00",0,0,0,0,0,0,0,"7,750.00",465,135.65,80,0,0,0,0,680.65,"7,069.00"
88,653,Vikram Menon,VikramMenon@gmail.com,Surya Prakash,Lab Services,Technician,30,30,"3,625.00","1,450.00",800,"1,375.00",0,0,0,0,0,0,0,"7,250.00",435,126.9,80,0,0,0,0,641.9,"6,608.00"
89,654,Naveen Gowda,NaveenGowda@gmail.com,Prakasa Rao,Lab Services,Technician,30,30,"3,625.00","1,450.00",800,"1,375.00",0,0,0,0,0,0,0,"7,250.00",435,126.9,80,0,0,0,0,641.9,"6,608.00"
90,178,Lavanya Banerjee,LavanyaBanerjee@gmail.com,,Maintenance,Gas Plant Technicina,30,30,"5,175.00","2,070.00",800,"2,305.00",0,0,0,0,0,0,0,"10,350.00",621,181.15,100,0,0,0,0,902.15,"9,448.00"
91,217,Swati Verma,SwatiVerma@gmail.com,,Maintenance,Head - Maintenance,30,30,"23,100.00","9,240.00",800,"13,060.00",0,0,0,0,0,0,0,"46,200.00",780,0,200,0,0,0,0,980,"45,220.00"
92,236,Deepak Kurup,DeepakKurup@gmail.com,,Maintenance,Technician,30,30,"4,760.00","1,904.00",800,"2,056.00",0,0,0,0,0,0,0,"9,520.00",571,166.6,80,0,539,0,0,"1,356.60","8,163.00"
93,275,Deepak Yadav,DeepakYadav@gmail.com,,Maintenance,Electrician,30,30,"6,000.00","2,400.00",800,"2,800.00",0,0,0,0,0,0,0,"12,000.00",720,210,100,0,0,0,0,"1,030.00","10,970.00"
94,31,Radha Mehta,RadhaMehta@gmail.com,,Maintenance,Electrician,30,30,"5,236.00","2,094.00",800,"2,342.00",0,0,0,0,0,0,0,"10,472.00",628,183.3,100,0,0,0,0,911.3,"9,561.00"
95,42,Sangeeta Bhat,SangeetaBhat@gmail.com,,Maintenance,Technician A/C,30,30,"5,331.00","2,132.00",800,"2,399.00",0,0,0,0,0,0,0,"10,662.00",640,186.6,100,0,490,0,0,"1,416.60","9,245.00"
96,496,Arun Reddy,ArunReddy@gmail.com,N SAIDULU,Maintenance,Electrician,28,28,"2,333.00",933,747,653,0,0,550,0,0,0,393,"5,609.00",304,88.55,0,0,0,0,0,392.55,"5,216.00"
97,563,Reshma Nair,ReshmaNair@gmail.com,ARUMUGHAM,Maintenance,GAS PLANT TECHNICIAN,30,30,"6,250.00","2,500.00",800,"2,950.00",0,0,0,0,0,0,0,"12,500.00",750,218.75,100,0,0,0,0,"1,068.75","11,431.00"
98,75,Pradeep Shetty,PradeepShetty@gmail.com,,Maintenance,Technician A/C,30,30,"5,474.00","2,190.00",800,"2,484.00",0,0,0,0,0,0,0,"10,948.00",657,191.6,100,0,464,0,0,"1,412.60","9,535.00"
99,79,Varun Gowda,VarunGowda@gmail.com,,Maintenance,Electrician,30,30,"5,331.00","2,132.00",800,"2,399.00",0,0,0,0,0,0,0,"10,662.00",640,186.6,100,0,0,0,0,926.6,"9,735.00"
100,82,Lakshmi Menon,LakshmiMenon@gmail.com,,Maintenance,Plumber,30,30,"5,040.00","2,016.00",800,"2,224.00",0,0,0,0,0,0,0,"10,080.00",605,176.4,100,0,295,0,0,"1,176.40","8,904.00"
101,95,Meena Tripathi,MeenaTripathi@gmail.com,,Maintenance,Electrician,30,30,"5,621.00","2,248.00",800,"2,572.00",0,0,0,0,0,0,0,"11,241.00",675,196.75,100,0,0,0,0,971.75,"10,269.00"
102,528,Aishwarya Sharma,AishwaryaSharma@gmail.com,N SANKARAIAH,Medical Records,Technician,30,30,"10,000.00","4,000.00",800,"5,200.00",0,0,0,0,0,0,0,"20,000.00",780,0,150,0,0,0,0,930,"19,070.00"
103,25,Priya Mishra,PriyaMishra@gmail.com,,Microbiology,Techologist,13,13,"2,718.00","1,087.00",347,"1,284.00",0,0,0,0,0,0,0,"5,436.00",326,95.15,60,0,0,0,0,481.15,"4,955.00"
104,404,Shalini Chatterjee,ShaliniChatterjee@gmail.com,VENKATA REDDY,Microbiology,Technologist,13,13,"2,492.00",997,347,"1,148.00",0,0,0,0,0,0,0,"4,984.00",299,87.25,0,0,0,0,0,386.25,"4,598.00"
105,136,Arjun Basu,ArjunBasu@gmail.com,,Nephrology,Technical Assistant,30,30,"3,575.00","1,430.00",800,"1,345.00",0,0,0,0,0,"3,700.00","1,430.00","12,280.00",515,214.9,80,0,0,0,0,809.9,"11,470.00"
106,431,Deepa Reddy,DeepaReddy@gmail.com,SHAIK MADHAR SAHEB,Nephrology,ASSISTANT TECHNICIAN,30,30,"3,450.00","1,380.00",800,"1,270.00",0,0,0,0,0,"1,600.00",0,"8,500.00",414,148.75,80,0,0,0,0,642.75,"7,857.00"
107,432,Kiran Joshi,KiranJoshi@gmail.com,LINGALA RAGHAVA REDDY,Nephrology,ASSISTANT TECHNICIAN,30,30,"3,450.00","1,380.00",800,"1,270.00",0,0,0,0,0,"4,000.00",0,"10,900.00",414,190.75,80,0,0,0,0,684.75,"10,215.00"
108,81,Vivek Sen,VivekSen@gmail.com,,Nephrology,Dialysis,30,30,"8,303.00","3,321.00",800,"4,182.00",0,0,0,0,0,0,0,"16,606.00",780,0,150,0,0,0,0,930,"15,676.00"
109,19,Aishwarya Reddy,AishwaryaReddy@gmail.com,,Non-Invasive Lab,Technician,30,30,"8,372.00","3,349.00",800,"4,223.00",0,0,0,0,0,0,0,"16,744.00",780,0,150,0,0,0,0,930,"15,814.00"
110,41,Sonal Deshmukh,SonalDeshmukh@gmail.com,,Non-Invasive Lab,Technician,30,30,"9,660.00","3,864.00",800,"4,996.00",0,0,0,0,"3,000.00",0,0,"22,320.00",780,0,150,0,0,0,0,930,"21,390.00"
111,568,Namrata Dey,NamrataDey@gmail.com,SRINIVAS,Non-Invasive Lab,ECG TECHNICIAN,29,29,"4,833.00","1,933.00",773,"2,127.00",0,0,0,0,0,0,0,"9,666.00",580,169.2,80,0,0,0,0,829.2,"8,837.00"
112,569,Vikram Paul,VikramPaul@gmail.com,TIRUPATAIAH,Non-Invasive Lab,Technical Assistant,29,29,"2,538.00","1,015.00",773,749,0,0,0,0,0,0,0,"5,075.00",305,88.85,60,0,0,0,0,453.85,"4,621.00"
113,98,Ritu Agarwal,RituAgarwal@gmail.com,,Non-Invasive Lab,ASSISTANT TECHNICIAN,30,30,"4,005.00","1,602.00",800,"1,603.00",0,0,0,0,0,0,0,"8,010.00",481,140.2,80,0,0,0,0,701.2,"7,309.00"
